Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
1,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
2,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
3,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
4,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
5,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
6,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
7,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
8,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
9,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
10,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
11,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
12,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
13,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
14,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
